N,dx,integral,erro,ordem
4,0.25,0.628417,0.00820234,0
8,0.125,0.634573,0.00204662,2.00279
16,0.0625,0.636108,0.000511409,2.0007
32,0.03125,0.636492,0.000127837,2.00017
64,0.015625,0.636588,3.19583e-05,2.00004
128,0.0078125,0.636612,7.9895e-06,2.00001
256,0.00390625,0.636618,1.99737e-06,2
512,0.00195312,0.636619,4.99343e-07,2
1024,0.000976562,0.63662,1.24836e-07,2
2048,0.000488281,0.63662,3.12089e-08,2
4096,0.000244141,0.63662,7.80223e-09,2
8192,0.00012207,0.63662,1.95056e-09,2
16384,6.10352e-05,0.63662,4.87636e-10,2.00001
32768,3.05176e-05,0.63662,1.21914e-10,1.99994
65536,1.52588e-05,0.63662,3.04683e-11,2.00048
131072,7.62939e-06,0.63662,7.6178e-12,1.99986
262144,3.8147e-06,0.63662,1.88938e-12,2.01146
524288,1.90735e-06,0.63662,4.80505e-13,1.97529
1048576,9.53674e-07,0.63662,1.30673e-13,1.87859
2097152,4.76837e-07,0.63662,1.66533e-15,6.29401
4194304,2.38419e-07,0.63662,5.11813e-14,-4.94173
